# submitted_item	validated_id	current_symbol
Cad87A	FBgn0037963	Cad87A
CG34307	FBgn0085336	CG34307
CG31211	FBgn0051211	CG31211
Hsp70Aa	FBgn0013275	Hsp70Aa
Hsp70Ab	FBgn0013276	Hsp70Ab
CG3281	FBgn0260741	CG3281
aurA	FBgn0000147	aurA
CG12213	FBgn0260742	CG12213
GC1	FBgn0260743	GC1
Tango9	FBgn0260744	Tango9
GC2	FBgn0037970	GC2
CG10005	FBgn0037972	CG10005
CR44135	unknown ID	-
CG18547	FBgn0037973	CG18547
CG12224	FBgn0037974	CG12224
CG3397	FBgn0037975	CG3397
mfas	FBgn0260745	mfas
Ect3	FBgn0260746	Ect3
KLHL18	FBgn0037978	KLHL18
GCC185	FBgn0037979	GCC185
DCAF12	FBgn0037980	DCAF12
Spt3	FBgn0037981	Spt3
ATP8B	FBgn0037989	ATP8B
dpr17	FBgn0051361	dpr17
CG4702	FBgn0037992	CG4702
CG4830	FBgn0037996	CG4830
CG4848	unknown ID	-
CG4860	FBgn0037999	CG4860
CG10014	unknown ID	-
svp	FBgn0003651	svp
CG10013	FBgn0038012	CG10013
CG44956	FBgn0266261	CG44956
CG10038	FBgn0038013	CG10038
CG10041	FBgn0038014	CG10041
MBD-R2	FBgn0038016	MBD-R2
CG4115	FBgn0038017	CG4115
Tim17a1	FBgn0038018	Tim17a1
GstD10	FBgn0042206	GstD10
GstD9	FBgn0038020	GstD9
GstD1	FBgn0001149	GstD1
CR46015	unknown ID	-
GstD2	FBgn0010038	GstD2
GstD3	FBgn0010039	GstD3
GstD4	FBgn0010040	GstD4
GstD5	FBgn0010041	GstD5
GstD6	FBgn0010042	GstD6
GstD7	FBgn0010043	GstD7
GstD8	FBgn0010044	GstD8
GstD11	FBgn0038029	GstD11
CG34402	FBgn0085431	Sol1
Cyp9f3Psi	unknown ID	-
lig3	unknown ID	-
Cyp9f2	FBgn0038037	Cyp9f2
CG5167	unknown ID	-
CG5196	FBgn0038039	CG5196
Dip-C	FBgn0000455	Dip-C
pps	FBgn0082831	pps
Scgbeta	FBgn0038042	Scgbeta
CG17202	FBgn0038043	CG17202
Pp1-87B	FBgn0004103	Pp1-87B
NANS	FBgn0038045	NANS
CG5641	FBgn0038046	CG5641
CG5245	FBgn0038047	CG5245
Prosalpha2	FBgn0086134	Prosalpha2
Aos1	FBgn0029512	Aos1
CG5844	unknown ID	-
Desat2	FBgn0043043	Desat2
CG17207	FBgn0038051	CG17207
Desat1	FBgn0086687	Desat1
CG5538	FBgn0286507	vrs
CG18549	FBgn0038053	CG18549
CG5509	FBgn0038054	CG5509
trus	FBgn0038055	trus
CG5961	FBgn0038056	CG5961
CG12267	unknown ID	-
CG5608	FBgn0038058	CG5608
Hsp70Ba	FBgn0013277	Hsp70Ba
alphagamma-element:CR32865	unknown ID	-
Hsp70Bb	FBgn0013278	Hsp70Bb
Hsp70Bc	FBgn0013279	Hsp70Bc
Octbeta2R	FBgn0038063	Octbeta2R
CR44942	unknown ID	-
Vha55	FBgn0005671	Vha55
Snx3	FBgn0038065	Snx3
Not10	FBgn0260444	Not10
CG18530	FBgn0042207	CG18530
CR46018	unknown ID	-
CG11598	FBgn0038067	CG11598
CG11600	FBgn0038068	CG11600
CG11608	FBgn0038069	CG11608
CG6753	FBgn0038070	CG6753
Dtg	FBgn0038071	Dtg
CG6225	FBgn0038072	CG6225
CG14395	FBgn0038073	CG14395
Gnmt	FBgn0038074	Gnmt
CG43630	FBgn0263621	CG43630
mbo	FBgn0026207	mbo
Cyp313a4	FBgn0038076	Cyp313a4
kar	FBgn0001296	kar
Su(fu)	FBgn0005355	Su(fu)
Arp1	FBgn0011745	Arp1
NijC	FBgn0038079	NijC
Past1	FBgn0016693	Past1
CG12279	FBgn0038080	CG12279
mus308	unknown ID	-
Men	FBgn0002719	Men
beat-Vc	FBgn0038084	beat-Vc
CG10126	FBgn0038088	CG10126
grsm	FBgn0040493	grsm
Spc25	FBgn0087021	Spc25
Cyp304a1	FBgn0038095	Cyp304a1
CG7381	FBgn0038098	CG7381
CG7091	FBgn0038099	CG7091
Paip2	FBgn0038100	Paip2
CG31342	FBgn0051342	CG31342
yellow-f	FBgn0041710	yellow-f
yellow-f2	FBgn0038105	yellow-f2
CG7488	FBgn0038106	CG7488
CG7518	FBgn0038108	CG7518
CG8031	FBgn0038110	CG8031
CG11656	FBgn0038109	CG11656
CtBP	FBgn0020496	CtBP
CG46280	FBgn0283438	CG46280
CG46281	FBgn0283439	CG46281
l(3)87Df	FBgn0002354	l(3)87Df
ry	FBgn0003308	ry
CG11668	FBgn0038113	CG11668
snk	FBgn0003450	snk
CG11670	FBgn0038114	CG11670
CG45122	FBgn0266615	CG45122
CG7966	FBgn0038115	CG7966
pic	FBgn0260962	pic
sim	FBgn0004666	sim
timeout	FBgn0038118	timeout
CG34308	FBgn0085337	CG34308
CG8483	FBgn0038126	CG8483
Ace	FBgn0000024	Ace
CG11686	FBgn0040551	CG11686
Ravus	FBgn0038128	Ravus
Su(var)3-7	FBgn0003598	Su(var)3-7
TBC1D5	FBgn0038129	TBC1D5
CG8630	FBgn0038130	CG8630
CG32473	FBgn0052473	CG32473
poly	FBgn0086371	poly
Dic1	FBgn0027610	Dic1
CheA87a	FBgn0038142	CheA87a
Lip3	FBgn0023495	Lip3
CG34309	FBgn0259831	CG34309
CG9813	FBgn0038143	CG9813
CR44138	unknown ID	-
CG8870	FBgn0038144	CG8870
mRpS21	FBgn0044511	mRpS21
Droj2	FBgn0038145	Droj2
CG9799	FBgn0038146	CG9799
CCHa2	FBgn0038147	CCHa2
GILT1	FBgn0038149	GILT1
CG33977	unknown ID	-
yellow-e	FBgn0041711	yellow-e
Act87E	FBgn0000046	Act87E
yrt	FBgn0004049	yrt
CG14372	FBgn0038156	side-IV
CR45589	unknown ID	-
CG31337	FBgn0051337	CG31337
sqd	FBgn0263396	sqd
rin	FBgn0015778	rin
Rbp4	FBgn0010258	Rbp4
Hrb87F	FBgn0004237	Hrb87F
B52	FBgn0004587	B52
Task6	FBgn0038165	Task6
CG9588	FBgn0038166	CG9588
Lkb1	FBgn0038167	Lkb1
omd	FBgn0038168	omd
flfl	FBgn0024555	flfl
CG14367	FBgn0038170	CG14367
f-cup	FBgn0028487	f-cup
Adgf-D	FBgn0038172	Adgf-D
CG31469	FBgn0051469	Argp
CG34383	FBgn0085412	kmr
Cht5	FBgn0038180	Cht5
CG9297	FBgn0038181	CG9297
CG9286	FBgn0038183	CG9286
Dip-B	FBgn0000454	Dip-B
CR43641	unknown ID	-
CR43642	unknown ID	-
Nsf2	FBgn0266464	Nsf2
CG31495	FBgn0051495	CG31495
ems	FBgn0000576	ems
CG31517	FBgn0047199	CG31517
CG9926	FBgn0038190	CG9926
Ipp	FBgn0016672	Ipp
CG9925	FBgn0038191	CG9925
Orc2	FBgn0015270	Orc2
rdx	FBgn0264493	rdx
CR43460	unknown ID	-
Cyp6d5	FBgn0038194	Cyp6d5
CG3061	FBgn0038195	CG3061
CG9922	FBgn0038196	CG9922
foxo	FBgn0038197	foxo
Npc2b	FBgn0038198	Npc2b
CG12402	FBgn0038202	CG12402
CR44237	unknown ID	-
Kif19A	FBgn0038205	Kif19A
Abi	FBgn0020510	Abi
twf	FBgn0038206	twf
140up	FBgn0010340	140up
RpII140	unknown ID	-
MetRS-m	FBgn0027083	MetRS-m
CG14841	FBgn0038218	CG14841
trx	FBgn0003862	trx
CR45596	unknown ID	-
CG12207	FBgn0285913	red
CG3259	unknown ID	-
su(Hw)	FBgn0003567	su(Hw)
RpII15	unknown ID	-
CG31321	FBgn0051321	CG31321
Crz	FBgn0013767	Crz
PR-Set7	FBgn0011474	PR-Set7
Afti	FBgn0038223	Afti
ATPsynE	FBgn0038224	ATPsynE
spn-B	FBgn0003480	spn-B
NK7.1	FBgn0024321	NK7.1
HEATR2	FBgn0051320	HEATR2
soti	FBgn0038225	soti
cv-c	FBgn0285955	cv-c
natalisin	FBgn0085417	natalisin
HtrA2	FBgn0038233	HtrA2
mRpL11	FBgn0038234	mRpL11
CG8461	FBgn0038235	CG8461
Pde6	FBgn0038237	Pde6
CG8087	FBgn0038241	CG8087
CG31313	FBgn0051313	CG31313
CG8066	FBgn0038243	CG8066
CR44095	unknown ID	-
Cys	FBgn0004629	Cys
CG7987	FBgn0038244	CG7987
stumps	FBgn0020299	stumps
put	FBgn0003169	put
His4r	FBgn0013981	His4r
CG7886	FBgn0038248	CG7886
Cad88C	FBgn0038247	Cad88C
l(3)L1231	FBgn0086686	l(3)L1231
CG3505	FBgn0038250	CG3505
Hexim	FBgn0038251	Hexim
Rad17	FBgn0025808	Rad17
BigH1	FBgn0038252	BigH1
Meltrin	FBgn0265140	Meltrin
kibra	FBgn0262127	kibra
CG7530	FBgn0038256	CG7530
eff	FBgn0011217	eff
jvl	FBgn0263929	jvl
smp-30	FBgn0038257	smp-30
CG7362	FBgn0038258	CG7362
CG14855	FBgn0038260	CG14855
CG14856	FBgn0038261	CG14856
CG14857	FBgn0038262	CG14857
btsz	FBgn0266756	btsz
CR46024	unknown ID	-
CG3610	FBgn0038266	CG3610
CG3631	FBgn0038268	CG3631
Rrp6	FBgn0038269	Rrp6
CG33332	FBgn0067629	CG33332
CG33331	FBgn0067628	CG33331
CycC	FBgn0004597	CycC
UQCR-C1	FBgn0038271	UQCR-C1
CG7265	unknown ID	-
CG14860	FBgn0038273	CG14860
Nup93-2	FBgn0038274	Nup93-2
CG3817	FBgn0038275	CG3817
VhaPPA1-2	FBgn0262514	VhaPPA1-2
RpS5b	FBgn0038277	RpS5b
VhaPPA1-1	FBgn0028662	VhaPPA1-1
Sdr	FBgn0038279	Sdr
dpr9	FBgn0038282	dpr9
CG6974	FBgn0038285	CG6974
CG6966	FBgn0038286	CG6966
CG42788	FBgn0261859	CG42788
CG6912	FBgn0038290	CG6912
CR45600	unknown ID	-
CG3984	FBgn0038291	CG3984
CG3987	FBgn0038292	CG3987
GlyS	FBgn0266064	GlyS
Mf	FBgn0038294	Mf
CG6752	FBgn0038296	CG6752
CG42542	FBgn0260659	CG42542
Spn88Ea	FBgn0028984	Spn88Ea
Spn88Eb	FBgn0038299	Spn88Eb
Mau2	FBgn0038300	Mau2
CG6654	FBgn0038301	CG6654
CG4210	FBgn0038302	CG4210
SIDL	FBgn0038303	SIDL
CG12241	FBgn0038304	CG12241
Rpb7	unknown ID	-
CG31344	FBgn0051344	CG31344
Caf1-55	FBgn0263979	Caf1-55
Art3	FBgn0038306	Art3
mRpS10	FBgn0038307	mRpS10
CG34316	FBgn0085345	CG34316
CR43471	unknown ID	-
tefu	FBgn0045035	tefu
Hsc70-4	FBgn0266599	Hsc70-4
Amt	FBgn0038309	Amt
CG42404	FBgn0259823	CG42404
eIF2gamma	FBgn0263740	eIF2gamma
Su(var)3-9	FBgn0263755	Su(var)3-9
Set	FBgn0014879	Set
ATPsynO	FBgn0016691	ATPsynO
CG14864	FBgn0038311	CG14864
Zip88E	FBgn0038312	Zip88E
Cp190	FBgn0000283	Cp190
CG4338	FBgn0038313	CG4338
CR46081	unknown ID	-
MRG15	FBgn0027378	MRG15
l(3)neo43	FBgn0011476	l(3)neo43
Tm1	FBgn0003721	Tm1
CG45218	FBgn0266745	CG45218
Tm2	FBgn0004117	Tm2
CG14866	FBgn0038315	CG14866
CG6276	FBgn0038316	CG6276
CG44040	FBgn0264832	CG44040
ear	FBgn0026441	ear
CG6236	FBgn0038318	CG6236
ea	FBgn0000533	ea
mRpL9	FBgn0038319	mRpL9
FK506-bp1	unknown ID	-
Sra-1	unknown ID	-
CG6218	FBgn0038321	CG6218
SerRS-m	FBgn0021750	SerRS-m
Surf4	FBgn0019925	Surf4
CG31301	FBgn0051301	CG31301
Trs33	FBgn0266722	Trs33
CG5038	FBgn0038324	CG5038
Atg4b	FBgn0038325	Atg4b
CG5044	FBgn0038326	CG5044
ldlCp	unknown ID	-
Trax	FBgn0038327	Trax
CG6171	FBgn0026737	CG6171
CG34404	FBgn0085433	CG34404
CG14868	FBgn0038330	CG14868
CG6136	FBgn0038332	CG6136
Ccm3	FBgn0038331	Ccm3
Rbp	FBgn0262483	Rbp
Atx2	FBgn0041188	Atx2
CG6118	FBgn0038339	CG6118
AdamTS-A	FBgn0286071	AdamTS-A
B9d1	FBgn0038342	B9d1
Rh6	FBgn0019940	Rh6
Trissin	FBgn0038343	Trissin
obe	FBgn0038344	obe
AOX1	FBgn0267408	AOX1
AOX2	FBgn0038348	AOX2
AOX3	FBgn0038349	AOX3
pxb	FBgn0053207	pxb
CR43849	unknown ID	-
CG5399	FBgn0038353	CG5399
CG4525	unknown ID	-
CG9590	FBgn0038360	CG9590
CG9589	FBgn0038361	Uros2
c(3)G	FBgn0000246	c(3)G
Acyp2	FBgn0038363	Acyp2
nsl1	FBgn0262527	nsl1
CG9593	FBgn0038365	CG9593
CR45891	unknown ID	-
alpha-Man-IIb	FBgn0026616	alpha-Man-IIb
CR45211	unknown ID	-
rec	FBgn0003227	rec
CG43318	FBgn0263023	CG43318
CG43317	FBgn0263022	CG43317
Arpc3A	FBgn0038369	Arpc3A
ND-23	FBgn0017567	ND-23
spn-E	FBgn0003483	spn-E
Pbp45	FBgn0038371	Pbp45
cv-d	FBgn0265048	cv-d
CG4546	FBgn0038373	CG4546
Hmt-1	FBgn0038376	Hmt-1
CG31183	FBgn0051183	CG31183
CG14877	FBgn0038380	CG14877
glob1	FBgn0027657	glob1
CG3303	unknown ID	-
Fbxl7	FBgn0038385	Fbxl7
CR46028	unknown ID	-
blp	FBgn0038387	blp
Sap47	FBgn0013334	Sap47
CG4287	FBgn0038388	CG4287
CG5516	FBgn0038389	CG5516
CG32856	FBgn0052856	CG32856
Rbf2	FBgn0038390	Rbf2
mor	FBgn0002783	mor
Hel89B	FBgn0022787	Hel89B
srp	FBgn0003507	srp
CR42839	unknown ID	-
GATAe	FBgn0038391	GATAe
CG10264	FBgn0038394	CG10264
CG10407	FBgn0038395	CG10407
IKKbeta	FBgn0024222	IKKbeta
CR45212	unknown ID	-
CG5013	FBgn0038396	CG5013
msps	FBgn0027948	msps
Mhcl	FBgn0026059	Mhcl
CG32855	FBgn0052855	CG32855
Akt1	unknown ID	-
Sb	FBgn0003319	Sb
CG5903	FBgn0038400	Mic26-27
CG5916	FBgn0038401	CG5916
CG6006	FBgn0063649	CG6006
CG8927	FBgn0038405	CG8927
Bin1	FBgn0024491	Bin1
sra	FBgn0086370	sra
CG6126	FBgn0038407	CG6126
CG31287	FBgn0051287	CG31287
mtSSB	FBgn0010438	mtSSB
CR45639	unknown ID	-
CR45640	unknown ID	-
CR45638	unknown ID	-
CR45642	unknown ID	-
CR45641	unknown ID	-
CR45643	unknown ID	-
tara	FBgn0040071	tara
bor	FBgn0287225	bor
asun	FBgn0020407	asun
Mat89Ba	FBgn0261286	Mat89Ba
gish	FBgn0250823	gish
Zip89B	FBgn0038412	Zip89B
Sulf1	FBgn0040271	Sulf1
CG6901	FBgn0038414	CG6901
SF2	FBgn0283477	SF2
pad	FBgn0038418	pad
CG14879	FBgn0038419	CG14879
Manf	FBgn0027095	Manf
CG10311	FBgn0038420	CG10311
CG17931	FBgn0038421	CG17931
ss	FBgn0003513	ss
CG31279	FBgn0051279	CG31279
CG17565	unknown ID	-
CG14881	FBgn0038425	CG14881
mRpS33	FBgn0038426	mRpS33
ema	FBgn0038427	ema
CG14894	FBgn0038428	CG14894
CG14882	FBgn0038429	CG14882
Pak3	FBgn0044826	Pak3
CG10405	FBgn0038431	CG10405
CG14883	FBgn0038432	CG14883
CG42232	FBgn0250754	CG42232
CSN5	FBgn0027053	CSN5
Gyc89Da	FBgn0038435	Gyc89Da
CR46029	unknown ID	-
Dhfr	FBgn0004087	Dhfr
Sdhaf3	FBgn0038437	Sdhaf3
Der-2	FBgn0038438	Der-2
CG42342	FBgn0259244	CG42342
CG14903	FBgn0038446	CG14903
CG10340	FBgn0022344	CG10340
CG17562	FBgn0038449	CG17562
CG17560	FBgn0038450	CG17560
CG14905	FBgn0038452	CG14905
Fas1	FBgn0285925	Fas1
nonA-l	FBgn0015520	nonA-l
CG10326	unknown ID	-
CG10324	FBgn0038454	CG10324
CCT3	FBgn0015019	CCT3
CG14906	unknown ID	-
CG14907	FBgn0038455	CG14907
modSP	FBgn0051217	modSP
abd-A	FBgn0000014	abd-A
Abd-B	FBgn0000015	Abd-B
CG18622	FBgn0038460	CG18622
MESK4	FBgn0043069	MESK4
CG3678	unknown ID	-
CG31274	FBgn0051274	CG31274
CG17556	unknown ID	-
CG3534	FBgn0038463	CG3534
Sf3a1	FBgn0266917	Sf3a1
Irc	FBgn0038465	Irc
CG8907	FBgn0038466	CG8907
AdSL	FBgn0038467	AdSL
CG31268	FBgn0051268	CG31268
CG4009	FBgn0038469	CG4009
CG18213	FBgn0038470	CG18213
CG5220	unknown ID	-
CG3995	FBgn0038472	CG3995
Patr-1	FBgn0266053	Patr-1
Dad	FBgn0020493	Dad
Ns1	FBgn0038473	Ns1
mRpS11	FBgn0038474	mRpS11
Keap1	FBgn0038475	Keap1
kuk	FBgn0038476	kuk
GckIII	FBgn0266465	GckIII
cal1	FBgn0038478	cal1
cher	FBgn0014141	cher
CG45079	FBgn0266454	CG45079
TwdlW	FBgn0038487	TwdlW
m-cup	FBgn0038488	m-cup
Det	FBgn0264291	Det
CG5285	unknown ID	-
CG5292	FBgn0038491	CG5292
Mur89F	FBgn0038492	Mur89F
CG31262	FBgn0051262	CG31262
beat-IIb	FBgn0038494	beat-IIb
Brf	FBgn0038499	Brf
lute	FBgn0262871	lute
CR43196	unknown ID	-
CR44160	unknown ID	-
sds22	FBgn0028992	sds22
CREG	FBgn0025456	CREG
Sur-8	FBgn0038504	Sur-8
Dscam3	FBgn0261046	Dscam3
CG5823	FBgn0038515	CG5823
P5cr-2	FBgn0038516	P5cr-2
l(3)07882	FBgn0010926	l(3)07882
SF1	FBgn0025571	SF1
Prx3	FBgn0038519	Prx3
sll	FBgn0038524	sll
CG14329	FBgn0038525	CG14329
CG43175	FBgn0262794	CG43175
CR45223	unknown ID	-
CG14322	FBgn0038532	CG14322
CG7523	FBgn0038533	CG7523
Mps1	FBgn0000063	Mps1
alt	FBgn0038535	alt
CG7655	FBgn0038536	CG7655
CG31251	FBgn0051251	CG31251
CG31360	FBgn0051360	CG31360
CG31249	FBgn0051249	CG31249
osa	FBgn0261885	osa
CR46036	unknown ID	-
CR46035	unknown ID	-
Pxt	FBgn0261987	Pxt
Lgr1	FBgn0016650	Lgr1
CG14321	FBgn0038540	CG14321
TyrR	FBgn0038542	TyrR
CG43102	FBgn0262562	CG43102
pasi1	FBgn0038545	pasi1
CG7379	FBgn0038546	CG7379
CG17803	FBgn0038547	CG17803
CG17806	FBgn0038548	CG17806
CG17802	unknown ID	-
CG17801	FBgn0038550	CG17801
Odj	FBgn0038551	Odj
CG18012	unknown ID	-
tinc	FBgn0261649	tinc
Rim	FBgn0053547	Rim
cpo	FBgn0263995	cpo
DNaseII	FBgn0000477	DNaseII
CG7785	FBgn0038564	CG7785
CG7794	FBgn0038565	CG7794
htl	FBgn0010389	htl
sr	FBgn0003499	sr
CR45103	unknown ID	-
CR45104	unknown ID	-
CG14315	FBgn0038568	CG14315
CG7218	FBgn0038569	CG7218
Cbp20	FBgn0022943	Cbp20
PP2A-B'	unknown ID	-
cdm	FBgn0261532	cdm
CG7208	FBgn0038575	CG7208
Arp5	FBgn0038576	Arp5
CG12321	FBgn0038577	CG12321
MED17	FBgn0038578	MED17
Ssdp	FBgn0011481	Ssdp
CG7985	FBgn0028499	CG7985
CG14314	FBgn0038581	CG14314
CG7183	FBgn0038583	CG7183
CG7988	FBgn0038582	CG7988
mTerf5	FBgn0038584	mTerf5
Non3	FBgn0038585	Non3
CG7168	FBgn0038586	CG7168
Mdh2	FBgn0262559	Mdh2
repo	FBgn0011701	repo
CG7156	FBgn0038588	CG7156
14-3-3epsilon	FBgn0020238	14-3-3epsilon
CG12320	FBgn0038590	CG12320
CG18598	FBgn0038589	CG18598
Rpb4	unknown ID	-
Ada2a	FBgn0263738	Ada2a
CG18599	FBgn0038592	CG18599
Vps39	FBgn0038593	Vps39
eIF1A	FBgn0026250	eIF1A
CG7142	FBgn0038595	CG7142
CG14312	FBgn0038596	CG14312
CG8064	FBgn0038597	CG8064
CG7131	FBgn0038598	CG7131
l(3)05822	FBgn0010877	l(3)05822
Dlc90F	FBgn0024432	Dlc90F
CG18600	FBgn0038601	Polr1E
PKD	FBgn0038603	PKD
WRNexo	FBgn0038608	WRNexo
Nup43	FBgn0038609	Nup43
gl	FBgn0004618	gl
CG7675	FBgn0038610	CG7675
CG14309	FBgn0038611	CG14309
cona	FBgn0038612	cona
Vha100-4	FBgn0038613	Vha100-4
Vha100-2	FBgn0028670	Vha100-2
Vti1b	FBgn0264751	Vti1b
CG12333	unknown ID	-
koko	FBgn0264816	koko
CG7685	FBgn0038619	CG7685
CG31122	FBgn0051122	CG31122
CG10864	FBgn0038621	CG10864
fru	FBgn0004652	fru
fray	FBgn0023083	fray
CG7694	FBgn0038627	CG7694
qin	FBgn0263974	qin
CG14305	FBgn0038630	CG14305
CG7695	FBgn0038631	CG7695
CG14301	FBgn0038632	CG14301
CG31224	FBgn0051224	CG31224
CstF-64	unknown ID	-
Cpsf73	FBgn0261065	Cpsf73
Gos28	FBgn0044871	Gos28
CG31231	FBgn0051231	CG31231
CG31229	FBgn0051229	CG31229
CR45028	unknown ID	-
CG7702	FBgn0038638	CG7702
CG31230	FBgn0051230	CG31230
CG7705	FBgn0286828	dind
CG7706	FBgn0038640	CG7706
CG7708	unknown ID	-
CG34282	FBgn0085311	CG34282
ChAT	FBgn0000303	ChAT
CG34283	FBgn0085312	CG34283
CG7714	FBgn0038645	CG7714
CG7715	FBgn0038646	CG7715
Mekk1	FBgn0024329	Mekk1
CG7718	unknown ID	-
gwl	FBgn0260399	gwl
Epg5	FBgn0038651	Epg5
CG7720	FBgn0038652	CG7720
CG18208	unknown ID	-
CG31226	FBgn0051226	CG31226
CG14298	FBgn0038654	CG14298
Rh2	FBgn0003248	Rh2
CG14292	FBgn0038658	CG14292
EndoA	FBgn0038659	EndoA
CG14291	unknown ID	-
Xrp1	FBgn0261113	Xrp1
Mpc1	FBgn0038662	Mpc1
CG42613	FBgn0261262	CG42613
euc	FBgn0038665	euc
Smu1	FBgn0038666	Smu1
dnk	FBgn0022338	dnk
snRNP-U1-C	FBgn0261792	snRNP-U1-C
gukh	FBgn0026239	gukh
CG6005	FBgn0038672	CG6005
CG14286	FBgn0038673	CG14286
CG14285	FBgn0038674	CG14285
GatA	FBgn0260779	GatA
NP15.6	FBgn0027785	NP15.6
P5cr	FBgn0015781	P5cr
Prp18	FBgn0027784	Prp18
CG6013	FBgn0038675	CG6013
CG6026	FBgn0038676	CG6026
cdi	FBgn0004876	cdi
mRpL55	FBgn0038678	mRpL55
ATPsynD	FBgn0016120	ATPsynD
CG6040	FBgn0038679	CG6040
Cyp12a5	FBgn0038680	Cyp12a5
Cyp12a4	FBgn0038681	Cyp12a4
Ppcs	FBgn0261285	Ppcs
CG5835	FBgn0038682	CG5835
CG11779	FBgn0038683	CG11779
nos	FBgn0002962	nos
Nsun5	FBgn0259704	Nsun5
CG42359	FBgn0259705	CG42359
sqz	FBgn0010768	sqz
CG5555	FBgn0038686	CG5555
CG31475	FBgn0051475	CG31475
cry	FBgn0025680	cry
vib	FBgn0267975	vib
CG11703	FBgn0038690	CG11703
CG3773	FBgn0038692	Polr2M
unc79	FBgn0038693	unc79
CG44174	FBgn0265063	CG44174
Dl	FBgn0000463	Dl
Ino80	FBgn0086613	Ino80
CG5316	FBgn0038704	CG5316
CG11626	FBgn0038705	CG11626
CG31221	FBgn0051221	CG31221
Dys	FBgn0260003	Dys
CG7342	FBgn0038716	CG7342
CG6231	FBgn0038720	CG6231
subdued	FBgn0038721	subdued
Vha13	FBgn0283536	Vha13
Nup58	FBgn0038722	Nup58
CG6195	FBgn0038723	CG6195
CG31220	FBgn0051220	CG31220
CG6184	FBgn0038725	CG6184
ort	FBgn0003011	ort
CG7432	FBgn0038727	CG7432
Naam	FBgn0051216	Naam
bnl	FBgn0014135	bnl
CG4662	unknown ID	-
Ire1	FBgn0261984	Ire1
CG11447	FBgn0038737	CG11447
CG4572	FBgn0038738	CG4572
CG4686	FBgn0038739	CG4686
CG4562	FBgn0038740	CG4562
CG17186	FBgn0038741	CG17186
Arc42	FBgn0038742	Arc42
Ask1	FBgn0014006	Ask1
ninaE	FBgn0002940	ninaE
CG4733	FBgn0038744	CG4733
CG4538	unknown ID	-
Surf6	FBgn0038746	Surf6
RhoGAP92B	FBgn0038747	RhoGAP92B
CR45048	unknown ID	-
CG4462	FBgn0038752	CG4462
CG4459	FBgn0038753	CG4459
Hs6st	FBgn0038755	Hs6st
mira	FBgn0021776	mira
MED25	FBgn0038760	MED25
PIG-L	FBgn0038763	PIG-L
psidin	FBgn0243511	psidin
CG4424	FBgn0038765	CG4424
CG4854	FBgn0038766	CG4854
trem	FBgn0038767	trem
CG4936	FBgn0038768	CG4936
CG10889	unknown ID	-
CG17193	FBgn0040571	CG17193
CG4390	FBgn0038771	CG4390
mdlc	FBgn0038772	mdlc
CG10887	FBgn0038773	CG10887
Nlg4	FBgn0083975	Nlg4
cic	FBgn0262582	cic
CG4367	FBgn0038783	CG4367
CG4362	FBgn0038784	CG4362
CG42668	FBgn0261550	CG42668
CG4360	FBgn0038787	CG4360
CR45800	unknown ID	-
Sirt2	FBgn0038788	Sirt2
MFS9	FBgn0038799	MFS9
MtnE	FBgn0262146	MtnE
Stat92E	FBgn0016917	Stat92E
att-ORFA	unknown ID	-
CG5180	FBgn0043457	CG5180
CG15922	FBgn0040575	CG15922
CG5191	FBgn0038803	CG5191
CG10877	FBgn0038804	CG10877
snoRNA:Psi18S-301	FBgn0083039	snoRNA:Psi18S-301
TFAM	FBgn0038805	TFAM
CG5412	FBgn0038806	CG5412
EloB	FBgn0023212	EloB
Srp14	FBgn0038808	Srp14
CG34008	FBgn0054008	CG34008
CG16953	FBgn0038809	CG16953
2-Sep	unknown ID	-
CR46044	unknown ID	-
Srp72	FBgn0038810	Srp72
CG4159	unknown ID	-
bon	FBgn0023097	bon
CG5466	FBgn0038815	CG5466
H	FBgn0001169	H
Pi3K92E	FBgn0015279	Pi3K92E
Lrrk	FBgn0038816	Lrrk
Oamb	FBgn0024944	Oamb
CR42786	FBgn0261857	CR42786
Cdk2	FBgn0004107	Cdk2
CG42322	FBgn0259222	CG42322
Syp	FBgn0038826	Syp
CG31195	FBgn0051195	CG31195
Fancd2	FBgn0038827	Fancd2
CG17270	FBgn0038828	CG17270
CG17271	FBgn0038829	CG17271
RpS20	FBgn0019936	RpS20
snoRNA:Psi18S-1295	FBgn0083055	snoRNA:Psi18S-1295
snoRNA:Psi28S-2562	FBgn0082986	snoRNA:Psi28S-2562
CG17272	FBgn0038830	CG17272
AdSS	FBgn0027493	AdSS
CR44047	unknown ID	-
CG31223	FBgn0051223	CG31223
Synd	FBgn0053094	Synd
CG15695	FBgn0038832	CG15695
RpS30	FBgn0038834	RpS30
TotA	FBgn0028396	TotA
CG31191	FBgn0051191	CG31191
snoRNA:CG31191-a	FBgn0263460	snoRNA:CG31191-a
hdly	FBgn0038842	hdly
Atpalpha	FBgn0002921	Atpalpha
Calx	FBgn0013995	Calx
Rlip	FBgn0026056	Rlip
CG17278	FBgn0046763	CG17278
CG7079	FBgn0038849	CG7079
Mvl	FBgn0011672	Mvl
Cortactin	FBgn0025865	Cortactin
AnxB9	FBgn0000083	AnxB9
r-l	FBgn0003257	r-l
dmrt93B	FBgn0038851	dmrt93B
HHEX	FBgn0038852	HHEX
